cluster,n_airports,dominant_delay_type,sample_airports,centroid_DelayedFlightRate,centroid_AvgArrDelay,centroid_AvgCarrierDelay,centroid_AvgWeatherDelay,centroid_AvgNASDelay,centroid_AvgSecurityDelay,centroid_AvgLateAircraftDelay,centroid_CarrierShare,centroid_WeatherShare,centroid_NASShare,centroid_SecurityShare,centroid_LateAircraftShare
0,21,LateAircraft,"LGA, MCO, DCA, PIT, TPA",0.42054793823098424,5.411513531522081,1.4686901730000232,0.27166811984874756,2.0304194710174177,0.004869323155317695,2.325725530131084,0.24029654494097222,0.04459948030824285,0.3338665818347234,0.0008214678453309753,0.3804159250707305
1,8,LateAircraft,"DEN, SFO, LAS, BWI, MDW",0.4415640226035425,6.657765238860281,2.0609993357224567,0.23803543176724654,1.285930584958308,0.011043639524852884,3.1857665765716607,0.30436721489338436,0.03474398801453571,0.18755807309703726,0.001676213045190032,0.47165451094985267
2,9,Carrier,"ATL, ORD, DFW, IAH, DTW",0.45594323392367864,7.2706936889257525,2.3545860888996786,0.5055458987590395,1.926772974517507,0.007700435551835678,2.159126777365868,0.34179728370444584,0.07375387518271125,0.28106751640221334,0.0011005235851273836,0.30228080112550215
3,5,Carrier,"SLC, SEA, MEM, HNL, ANC",0.42784762150826916,3.9129142245027655,1.8785436669385585,0.14881209321743388,1.0217594073542395,0.005082075024956977,1.4297851401807673,0.4265688826689907,0.031607564855561376,0.2207865407314525,0.0011074384410768982,0.3199295733029185
4,6,LateAircraft,"CLT, EWR, BOS, PHL, FLL",0.4540148646691705,7.478578499511132,1.9103570958824916,0.2792169860462335,2.513722369656857,0.021166017690300354,2.910376956277604,0.2512312781719669,0.036462291868541226,0.33029741771055343,0.0028068354304030046,0.37920217681853546
5,6,LateAircraft,"LAX, PHX, OAK, PDX, SJC",0.4341010872990281,4.5291489667660025,1.3274934811187846,0.07222513374919806,0.8855610058281405,0.0185315449929796,1.9608607832649974,0.30458324484381066,0.017065829695732858,0.2063500787815466,0.00436820156306577,0.4676326451158441
6,16,LateAircraft,"STL, SAN, BNA, MCI, MSY",0.41323221194601184,4.6601663508084945,1.1242089308664747,0.16585086211593905,1.1785397442337286,0.005905051206303045,2.2469278773612618,0.2389568529265801,0.03499054460487508,0.24857250391839847,0.0012496889539060682,0.4762304095962403
7,1,Carrier,JFK,0.4332644063828957,7.426838336007513,3.7349303577698882,0.9137762865280324,3.6695798057040303,0.027622800515001364,3.180523584721626,0.3240317634395499,0.07927658969516034,0.31836213841331734,0.002396474339446374,0.27593303411252595
