Origin,FlightsCount,DelayedFlightRate,AvgArrDelay,AvgCarrierDelay,AvgWeatherDelay,AvgNASDelay,AvgSecurityDelay,AvgLateAircraftDelay,CarrierShare,WeatherShare,NASShare,SecurityShare,LateAircraftShare,cluster,pc1,pc2
ABE,1596,0.40225563909774437,5.227386934673367,1.7957393483709274,0.12781954887218044,1.8345864661654134,0.0,1.7706766917293233,0.3247960108794198,0.023118766999093383,0.3318223028105168,0.0,0.32026291931097006,,,
ABI,462,0.30952380952380953,4.1147186147186146,3.8614718614718613,0.7337662337662337,1.251082251082251,0.0,2.5952380952380953,0.4574358974358974,0.08692307692307692,0.1482051282051282,0.0,0.30743589743589744,,,
ABQ,10779,0.4231375823360238,4.301951672862454,0.9615919844141386,0.16782632897300306,0.7600890620651266,0.004824195194359403,2.2134706373504036,0.2340891639188762,0.04085550386196305,0.18503545778942138,0.0011743981209630064,0.5388454763087763,6.0,-2.599486689659961,-0.1755624286731329
ABR,80,0.275,21.4875,22.9875,0.9125,0.825,0.1125,4.325,0.7882554650664381,0.031290184312044576,0.02828975567938277,0.0038576939562794685,0.1483069009858551,,,
ABY,182,0.489010989010989,12.508287292817679,5.978021978021978,0.5934065934065934,4.335164835164835,0.0,5.016483516483516,0.3754313319530711,0.037267080745341616,0.2722567287784679,0.0,0.3150448585231194,,,
ACK,73,0.5205479452054794,26.671232876712327,0.726027397260274,0.0,21.465753424657535,0.1232876712328767,8.986301369863014,0.023194748358862146,0.0,0.6857768052516411,0.003938730853391685,0.287089715536105,,,
ACT,325,0.28923076923076924,0.5524691358024691,2.4984615384615383,0.3723076923076923,1.1784615384615384,0.0,1.88,0.4213803840166061,0.06279190451478983,0.19875454073689672,0.0,0.3170731707317073,,,
ACV,524,0.39122137404580154,11.349904397705545,3.0477099236641223,0.1851145038167939,4.419847328244275,0.0,8.288167938931299,0.19118879444510953,0.011612594277505089,0.27726565305878126,0.0,0.5199329582186041,,,
ACY,270,0.35185185185185186,4.659259259259259,3.8444444444444446,0.09259259259259259,3.4518518518518517,0.0,4.051851851851852,0.3360310780187763,0.00809323405632891,0.30171576561994173,0.0,0.3541599223049531,,,
ADK,22,0.4090909090909091,-8.523809523809524,1.0454545454545454,0.0,0.0,1.2727272727272727,2.1818181818181817,0.23232323232323232,0.0,0.0,0.2828282828282828,0.48484848484848486,,,
