airport,role,flights,pct_delayed,dominant_cause,avg_arr_delay,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,share_CarrierDelay,share_WeatherDelay,share_NASDelay,share_SecurityDelay,share_LateAircraftDelay,cluster
GEG,Origin,3905,0.3887323943661971,LateAircraftDelay,,2945.0,107.0,3309.0,67.0,5655.0,0.24373086154100804,0.008855416701150377,0.27385583050566914,0.005544980551187619,0.46801291070098483,
GFK,Origin,423,0.2907801418439716,LateAircraftDelay,,459.0,339.0,476.0,0.0,533.0,0.2540121748754842,0.1876037631433315,0.2634200332042059,0.0,0.2949640287769784,
GGG,Origin,195,0.3282051282051282,LateAircraftDelay,,403.0,35.0,400.0,0.0,647.0,0.2713804713804714,0.02356902356902357,0.26936026936026936,0.0,0.4356902356902357,
GJT,Origin,832,0.3365384615384615,CarrierDelay,,1991.0,544.0,712.0,0.0,1563.0,0.4139293139293139,0.1130977130977131,0.14802494802494803,0.0,0.32494802494802494,
GNV,Origin,703,0.4153627311522048,LateAircraftDelay,,1691.0,802.0,2481.0,0.0,2728.0,0.21955336276291873,0.10412879771487925,0.3221241236042586,0.0,0.3541937159179434,
GPT,Origin,1014,0.3895463510848126,LateAircraftDelay,,1766.0,805.0,2935.0,6.0,4536.0,0.1757563694267516,0.08011544585987261,0.29209792993630573,0.0005971337579617834,0.45143312101910826,
GRB,Origin,1416,0.3622881355932203,LateAircraftDelay,,1923.0,235.0,4336.0,0.0,4917.0,0.16852160196301813,0.020594163526421874,0.3799842257470861,0.0,0.43090000876347384,
GRI,Origin,68,0.3235294117647059,WeatherDelay,,153.0,297.0,253.0,0.0,184.0,0.17249154453213078,0.33483652762119503,0.2852311161217587,0.0,0.20744081172491544,
GRK,Origin,556,0.3327338129496403,LateAircraftDelay,,1970.0,796.0,1899.0,0.0,2606.0,0.2709393480951726,0.10947600055013065,0.26117452895062576,0.0,0.35841012240407094,
GRR,Origin,3915,0.3928480204342273,LateAircraftDelay,,6304.0,780.0,9357.0,1.0,9385.0,0.24408564680373251,0.03020095249157858,0.36229527238936,3.871916986099818e-05,0.3633794091454679,
GSO,Origin,4846,0.4581097812628972,LateAircraftDelay,,5637.0,1923.0,7088.0,0.0,9406.0,0.23434771763532053,0.07994512347218757,0.29467032510185415,0.0,0.39103683379063775,
GSP,Origin,3106,0.4150032195750161,LateAircraftDelay,,4518.0,139.0,7266.0,0.0,8189.0,0.22464200477326968,0.006911296738265712,0.3612768496420048,0.0,0.40716984884645985,
GST,Origin,28,0.6428571428571429,LateAircraftDelay,,5.0,0.0,28.0,0.0,324.0,0.014005602240896359,0.0,0.0784313725490196,0.0,0.907563025210084,
GTF,Origin,849,0.3156654888103651,CarrierDelay,,1195.0,454.0,319.0,0.0,1022.0,0.3996655518394649,0.15183946488294314,0.10668896321070234,0.0,0.34180602006688965,
