Season,total_CarrierDelay,avg_CarrierDelay,total_WeatherDelay,avg_WeatherDelay,total_NASDelay,avg_NASDelay,total_SecurityDelay,avg_SecurityDelay,total_LateAircraftDelay,avg_LateAircraftDelay,flights,pct_delayed,avg_arr_delay
Winter,995218.0,2.075801250630947,197023.0,0.4109457322948953,875449.0,1.8259900133072475,5447.0,0.0113612187602985,1266343.0,2.641307113745677,,,
Spring,874349.0,1.7611812527192745,139092.0,0.2801698438532317,809488.0,1.6305332194595292,3180.0,0.0064054014857308,1152331.0,2.32111405643199,,,
Summer,1151379.0,2.294401788685607,218558.0,0.4355298004667002,1036528.0,2.065533327620805,6384.0,0.0127216676862865,1611888.0,3.212077613332244,,,
Autumn,725879.0,1.4941223449692584,97412.0,0.2005092389615148,691949.0,1.4242820945076704,3814.0,0.007850595793118,861119.0,1.772495332662307,,,
